condition,therapeuticarea,summary,purpose,gender,age,status,cwid,modified,sponsor,phase
Alcohol Dependence,Psychiatry/Psychology Neurology Family Medicine,Study for Schizophrenia Patients with Alcohol Use Disorder,"A Phase II, Randomized, Double-blind Study to Evaluate Efficacy, Safety, and Tolerablity of ALKS 3831 in Subjects with Schizophrenia with Alcohol Use Disorder",Both Male and Female,18 to 65 Years,Recruiting,209316,"","Alkermes, Inc.",2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,205503,"",NIAID,1/2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,205505,"",NIAID,1/2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,12 week dose ranging study to evaluate the efficacy and safety of Fluticasone Propionate Spiromax administered twice daily compared with placebo in adolescents and adults with persistent asthma uncontrolled on non-steroidal therapy,12 weeks study requiring 6 morning visits. Subjects should be without inhaled corticosteroids for 6 weeks prior to the screening visit.,Both Male and Female,12 and up,Recruiting,180220,"",,3
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,12 week dose ranging study to evaluate the efficacy and safety of Fluticasone Propionate Spiromax administered twice daily compared with placebo in adolescents and adults with persistent asthma uncontrolled on non-steroidal therapy,12 weeks study requiring 6 morning visits. Subjects should be without inhaled corticosteroids for 6 weeks prior to the screening visit.,Both Male and Female,12 and up,Recruiting,180217,"",,3
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,205506,"",NIAID,1/2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,203890,"",NIAID,1/2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,203892,"",NIAID,1/2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Asthmatic Adults Study,People with Asthma are asked to participate in a research study being conducted by Montefiore Medical Center.,"",Both Male and Female,N/A,216672,"",,
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,A 26-Week trial for Adolescents and Adults With Persistent Asthma,The clinical trials center at Winthrop University Hospital is conducting a research study for people with persistent asthma.,Both Male and Female,12 and up,Recruiting,199555,"",,3
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Chronic Cough Study,12-week study for people ages 18-80 suffering from a refractory chronic cough. A refractory chronic cough is a cough that has continued for at least 8 weeks even after treating the cause of the cough. Study drug belongs to a newly developed class of drug that interferes with the signal going from your brain to your airway telling you to cough. Study drug is compared to a placebo.,Both Male and Female,18 to 80 Years,Recruiting,212408,"",,2
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Asthma,"A Randomized, Double Blind, Double Dummy, Placebo Controlled, Parallel Group, 12 Week Clinical Study to Assess the Efficacy and Safety of 80 or 160 mcg/Day of Beclomethasone Dipropionate Delivered via Breath Actuated Inhaler (BAI) or Metered Dose Inhaler (MDI) in Pediatric Patients 5 Through 11 Years of Age with Persistent Asthma",Both Male and Female,5 to 11 Years,Recruiting,195167,"",TEVA,3
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Asthma,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, 12-Week Clinical Study to Assess the Efficacy and Safety of Beclomethasone Dipropionate (80 and 160 mcg/Day) Delivered Via Breath-Actuated Inhaler (BAI) in Adolescent and Adult Patients 12 Years of Age and Older With Persistent Asthma",Both Male and Female,12 and up,Recruiting,195161,"",TEVA,3
Allergies & Asthma,Pulmonary/Respiratory Diseases Immunology Family Medicine,Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,203896,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,205502,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,205504,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases","A Randomized, Double-blind, Placebo-controlled, Multi-center Study of the Efficacy and Safety of STG320 Sublingual Tablets of House Dust Mite (HDM) Allergen Extracts in Adults and Adolescents With HDM-associated Allergic Rhinitis",The objective of this study is to assess the efficacy and safety of 12 months of treatment with 300 IR of STG320 sublingual tablets compared with placebo in adults and adolescents with HDM-associated allergic rhinitis.,Both Male and Female,12 to 65 Years,Recruiting,212081,"",Stallergenes,3
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Peanut Allergy Oral Immunotherapy Study of AR101 for Desensitization in Children and Adults (PALISADE),"This is an international, multicenter, randomized, double-blind, placebo-controlled study of the efficacy and safety of AR101 in a characterized desensitization oral immunotherapy regimen in peanut-allergic individuals.",Both Male and Female,4 to 55 Years,Recruiting,213350,"",Aimmune Therapeutics,3
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases","A Double-Blind, Randomized, Placebo-Controlled, Multi-Centre Field Study to Assess the Efficacy and Safety of HDM-SPIRE in Subjects with a History of House Dust Mite-Induced Rhinoconjunctivitis",This is a study for a treatment to House Dust Mite Allergy.,Both Male and Female,18 to 65 Years,Recruiting,209897,"",Circassia,2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases","A Double-Blind, Randomised, Placebo-Controlled Multi-Centre Field Study to Assess the Efficacy and Safety of Cat-PAD Peptide Immunotherapy in Cat Allergic Subjects","A randomized, double-blind, superiority, multiple dose, placebo-controlled, parallel group, multi-centre, field study.",Both Male and Female,12 to 65 Years,Recruiting,192701,"",Circassia Ltd.,3
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,206760,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,203889,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,205507,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,206761,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,203891,"",NIAID,1/2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Cat Allergy,Do you love your cat but hate the allergies that follow?,Both Male and Female,12 to 65 Years,Recruiting,193015,"",,3
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Dust Mite Allergy,"A new research study is being conducted for rhinitis (nasal congestion, runny nose, post-nasal drip, sneezing) or conjunctivitis (red, itchy, watery eyes) caused by dust mite allergies.",Both Male and Female,12 and up,Recruiting,193014,"",,3
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",853-06 Urticaria (hives) Research Study for Adults,This study is testing an investigational drug for urticaria (hives).,Both Male and Female,18 to 75 Years,Recruiting,208702,"",Novartis,2
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Diagnosis of Aspirin Hypersensitivity by Measuring Arachidonic Acid Metabolites after Low Dose Aspirin Challenge,"This is a research study of a new approach to diagnose aspirin allergy. Hypersensitivity to non-steroidal anti-inflammatory drugs (NSAIDs) is frequently reported by patients requiring aspirin (ASA) for coronary artery disease or NSAIDs for pain management. Even though clinical challenge with relatively high doses of aspirin carries a substantial risk of severe reactions in ASA-hypersensitive population (e.g., bronchospasm), it is used as a gold standard to confirm the diagnosis of ASA hypersensitivity (AH) [1]. A safer, more time and cost efficient test to diagnose ASA-hypersensitivity would be useful.","",Both Male and Female,18 and up,164960,"",,
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Children and Adolescents with Hereditary Angioedema (HAE),The purpose of this clinical research study to test how well and how safe an investigational medication works in children and adolescent with HAE.,"",Both Male and Female,2 to 15 Years,199553,"",,
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Study for adults with Hereditary Angioedema (HAE),Winthrop University Hospital Clinical Trials Center is seeking volunteers with inadequately controlled Hereditary Angioedema (HAE) for a clinical research study to test a medication already approved by the Food and Drug Administration (FDA) to investigate the safety and effectiveness of a higher dosage not approved by the FDA.,"",Both Male and Female,N/A,165931,"",,
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases","Food Allergy, Phenotype, Regulation and Development of the Immune System in Adult Atopic Dermatitis Patients","Atopic dermatitis (AD), which is also known as eczema, is a common chronic, relapsing skin condition associated with intense skin itching and rash, which can impact most aspects of everyday life. The exact cause of the disease is not fully known, but it involves an imbalance of the immune system as well as skin barrier impairment. Several environmental factors have been described to worsen eczema. These include irritants, foods and environmental allergens. The relationship between food allergies and atopic eczema is not understood.","",Both Male and Female,18 to 65 Years,205829,"",,
Allergy,"Otolaryngology (Ear, Nose, Throat) Pulmonary/Respiratory Diseases Immunology Infections and Infectious Diseases",Anti-TSLP (AMG 157) plus antigen-specific immunotherapy for induction of tolerance in individuals with cat allergy (CATNIP Study),"The purpose of this research study is to find out if cat allergy shots in combination with AMG 157, an experimental medication, will help the cat allergy shots work after just one year of treatment, and continue to work for at least a year after stopping both types of study medications. The investigators are also trying to find out how AMG 157 and cat allergy injections have an effect your immune system.",Both Male and Female,18 to 65 Years,Recruiting,206762,"",NIAID,1/2
Allergy (Pediatric),Pediatrics/Neonatology Pulmonary/Respiratory Diseases Immunology Family Medicine,Evaluation of Hypoallergenicity of a New Extensively Hydrolyzed Formula,"Infants/children with cow's milk allergy will take part in 2 double-blinded placebo-controlled food challenges (DBPCFC) of 2 extensively hydrolyzed formulas in random order. If both food challenges are passed, subjects will be asked to consume the Test formula in an at-home open challenge for 7 days.","",Both Male and Female,2 to 4 Years,209891,"",Recruiting,
Allergy (Pediatric),Pediatrics/Neonatology Pulmonary/Respiratory Diseases Immunology Family Medicine,861 / Children's Ragweed Allergy Research Study,This study is testing an investigational drug for seasonal ragweed allergy,Both Male and Female,4 to 17 Years,Recruiting,209999,"",Merck,3
Allergy (Pediatric),Pediatrics/Neonatology Pulmonary/Respiratory Diseases Immunology Family Medicine,Adolescent Ragweed Allergy Study,"Allergy study for adolescents ages 12 to 17 who are allergic to ragweed. Ragweed is a fall pollen. If you have allergy symptoms such as sneezing, runny or itchy nose, stuffy or congested nose, or itchy and watery eyes starting mid-August that last to the first frost, you could be allergic to ragweed. We are studying RAGWITEK, a sublingual (under the tongue) immunotherapy to treat ragweed pollen allergy symptoms. RAGWITEK is available by prescription in the US and Canada for adults ages 18-65. This study will test RAGWITEK to see if it is safe and effective in children ages 12 to 17 years of age. The study will last approximately one year and requires 8 visits to our office. Reimbursement for time and travel expenses may be available.",Both Male and Female,12 to 17 Years,Recruiting,211016,"",,3
Allergy (Pediatric),Pediatrics/Neonatology Pulmonary/Respiratory Diseases Immunology Family Medicine,Children's Ragweed Allergy,"Does your child have Ragweeed Allergy or Hayfever?
 If so, your child may be eligible to participate in a research study of an investigational medication used to treat Allergies in children ages 4-17.",Both Male and Female,4 to 17 Years,Recruiting,212075,"",Merck,3
Alopecia,Dermatology,Hair Loss Study For Men & Women,An enriched plasma hair re-growth study for the treatment of male and female pattern hair loss.,"",Both Male and Female,18 to 55 Years,213447,"",,
Alpha 1 Antitrypsin Deficiency,"Gastroenterology Pulmonary/Respiratory Diseases Hepatology (Liver, Pancreatic, Gall Bladder)","If you have Chronic Obstructive Pulmonary Disease (COPD), you need to know about Alpha-1 Antitrypsin Deficiency.",What is Alpha-1 Antitrypsin Deficiency?,"",Both Male and Female,N/A,195202,"",Recruiting,
Alzheimer's Disease,Neurology Family Medicine,A Phase III Safety and Efficacy Study of ALZT-OP1 in Subjects With Evidence of Early Alzheimer's Disease,"This Phase III study is designed as a randomized, double-blinded, placebo-controlled study for subjects with evidence of early AD. The study will evaluate safety and tolerability, efficacy as measured by CDR-SB, and will determine if the combination therapy ALZT-OP1 will slow down, arrests, or reverse cognitive and functional decline in an early stage AD population.",Both Male and Female,55 to 79 Years,Recruiting,214145,"",AZTherapies,3
Alzheimer's Disease,Neurology Family Medicine,Are you concerned about memory loss?,"If you have noticed recent memory changes, you may be interested in learning more about the APECS clinical research study for a very early stage of Alzheimer’s disease called prodromal Alzheimer’s disease.","",Both Male and Female,N/A,215443,"",,
Alzheimer's Disease,Neurology Family Medicine,Clinical trial for Early Alzheimers,This clinical trial is provided by TrialReach.,Both Male and Female,50 to 85 Years,Recruiting,209277,"",Biogen,3
Alzheimer's Disease,Neurology Family Medicine,Clinical trial for Early Alzheimers,This clinical trial is provided by TrialReach.,Both Male and Female,50 to 85 Years,Recruiting,209352,"",Biogen,3
Alzheimer's Disease,Neurology Family Medicine,Are you concerned about memory loss?,"If you have noticed recent memory changes, you may be interested in learning more about the APECS clinical research study for a very early stage of Alzheimer’s disease called prodromal Alzheimer’s disease.","",Both Male and Female,N/A,215451,"",,
Alzheimer's Disease,Neurology Family Medicine,Clinical trial for Early Alzheimers,This clinical trial is provided by TrialReach.,Both Male and Female,50 to 85 Years,Recruiting,209336,"",Biogen,3
Alzheimer's Disease,Neurology Family Medicine,The ENGAGE Study,"The ENGAGE Study is a global study assessing the efficacy and safety of an investigational medication, to determine whether it can slow the progression of symptoms in early Alzheimer’s disease. There is an important medical and scientific need to research therapies that could delay memory loss and the progression of disability in Alzheimer’s disease because there are currently no approved treatments that slow the course of the condition.",Both Male and Female,50 to 85 Years,Recruiting,213445,"",Biogen,3
Alzheimer's Disease,Neurology Family Medicine,Are you concerned about memory loss?,"If you have noticed recent memory changes, you may be interested in learning more about the APECS clinical research study for a very early stage of Alzheimer’s disease called prodromal Alzheimer’s disease.","",Both Male and Female,N/A,215430,"",,
Alzheimer's Disease,Neurology Family Medicine,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, 26-Week, Phase 3 Study of Two Doses of EVP-6124 or Placebo in Subjects with Mild to Moderate Alzheimer's Disease Currently or Previously Receiving an Acetylcholinesterase Inhibitor Medication","If you know someone that has been diagnosed with Alzheimer's and wish there was something more you could do, our investigational medication research study may be of interest to you. At PRI we are conducting a research study of an investigational medication which has shown encouraging data in previous clinical trials. Qualified patients must be 55-85 years of age. They will receive study-related care, at no cost. Plus, transportation and/or compensation for study visits may be available.","",Both Male and Female,55 to 85 Years,197890,"",,
Alzheimer's Disease,Neurology Family Medicine,Study of an investigational medication for the treatment of Alzheimer's Disease,"This is a study of an investigational medication for the treatment of Alzheimer's Disease in men and women 50 and older. Interested patients should contact the center directly for more information. We are located in Encino, Newport Beach, and Los Alamitos, CA.","",Both Male and Female,50 and up,=11108,"",,
Alzheimer's Disease,Neurology Family Medicine,Clinical trial for Early Alzheimers,This clinical trial is provided by TrialReach.,Both Male and Female,50 to 85 Years,Recruiting,209347,"",Biogen,3
Alzheimer's Disease,Neurology Family Medicine,Alzheimer's Disease Study,This is a study for elderly patients (>= 55 years of age) who meet the NINCDS-ADRDA criteria for Alzheimer's Disease.,"",Both Male and Female,55 and up,=49858,"",,
Alzheimer's Disease,Neurology Family Medicine,Clinical trial for Early Alzheimers,This clinical trial is provided by TrialReach.,Both Male and Female,50 to 85 Years,Recruiting,209371,"",Biogen,3
Alzheimer's Disease,Neurology Family Medicine,Alzheimer's Disease,You might be able to help with a clinical research study looking at a potential new treatment for mild to moderate Alzheimer’s disease.,"",Both Male and Female,50 and up,195624,"",,
Alzheimer's Disease,Neurology Family Medicine,Clinical trial for Early Alzheimers,This clinical trial is provided by TrialReach.,Both Male and Female,50 to 85 Years,Recruiting,209368,"",Biogen,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203970,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203925,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203981,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,A clinical trial to evaluate treatments using Progesterone for patients with Secondary Amenorrhea,"This study will be a Phase 3, randomized, three-cycle, double-blind, placebo-controlled, parallel group, multiple-dose design.",Female,18 to 40 Years,Recruiting,194805,"",TherapeuticsMD,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,Hot Flash,A phase 3 double blind placebo controlled randomized multi center study to evaluate the safety and efficacy of Estradiol in combination with Progesterone in Postmenopausal women with an intact uterus: Estradiol to reduce the frequency and severity of vasomotor symptoms and Progesterone to manage the incidence of endometrial hyperplasia.,Female,40 to 65 Years,Recruiting,194801,"",Theravance,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203937,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203913,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,204008,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,Study to Evaluate Rifaximin Vaginal Tablets in the Treatment of Bacterial Vaginosis,The study has been designed to compare the efficacy of two doses (25 mg and 100 mg) of Rifaximin vaginal tablets versus placebo in subjects with bacterial vaginosis.,Female,18 to 50 Years,Recruiting,209288,"",Alfa Wassermann S.p,2
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203931,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,Secondary Amenorrhea (Absence of a period),"Amenorrhea is the medical term for the lack of menstrual periods, including on a permanent or temporary basis.","",Female,18 to 40 Years,195888,"",,
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203967,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203916,"",Ferring Pharmaceuticals,3
Amenorrhea,Obstetrics/Gynecology (Women’s Health) Family Medicine,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study Evaluating Three Doses of Subcutaneous Pulsatile GnRH Administered Via OmniPod Pump for Ovulation Induction in Female Subjects With Primary Amenorrhea With Hypogonadotropic Hypogonadism",To compare the ovulation rate in women with primary amenorrhea with hypogonadotropic hypogonadism following pulsatile gonadotropin-releasing hormone (GnRH) treatment using the OmniPod pump versus placebo,Female,18 to 40 Years,Recruiting,203943,"",Ferring Pharmaceuticals,3
